ObjectName,ID,Name,ClassName,CssSelector,CssSelector2,CssSelector3,LinkText,PartialLinkText,TagName,XPath,ithInMultiple,ContainsText,AttributeKey1,AttributeValue1,AttributeKey2,AttributeValue2,IsParent,Value,SQL,UserDefinedWaitTime,ThreadSleepWaitTime,ReferenceDataID,UnUseColumn1,UnUseColumn2,UnUseColumn3,Child_ID,Child_Name,Child_ClassName,Child_CssSelector,Child_CssSelector2,Child_CssSelector3,LinkText8,Child_PartialLinkText,Child_TagName,Child_Xpath,Child_ithInMultiple,Child_ContainsText,Child_AttributeKey1,Child_AttributeValue1,Child_AttributeKey2,Child_AttributeValue2,Child_Value,Child_SQL,Child_UserDefinedWaitTime,Child_ThreadSleepWaitTime,Child_ReferenceDataID,Child_UnUseColumn1,Child_UnUseColumn2,Child_UnUseColumn3
pdpRecRRNowPrice_wk,,,,article[class='slick-slide slick-active'],,,,,,,1,,,,,,1,,,,,,,,,,,product-recs__paragraph--now-price,,,,,,,,,,,,,,,,,,,,,
rspEstDeliveryDate_WS,,,,div[class='select-shipping-method-group'],,,,,,,,(Est. Delivery ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confPaymentMode_WS,,,,div[id='jsVal-creditCard'],,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkoutResponseError_wk,,,,div[class='errorMsgPage jsResponseError'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEMsizeSwatch_wk,,,,div[class='product-size-options'],,,,,,,,,,,,,1,,,,,,,,,,,,li[class='product-variant-attribute-value product-variant-attribute-value--text'],,,,,,,,,,,,,,,,,,,,
AEMsizeCheck_wk,,,,div[class='product-size-options'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEMsoldOutMsg_wk,,,,p[class='product__sold-out-message'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEMaddtoBagButton_wk,,,,,,,,,button,,,ADD TO BAG,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEMcolorCheck_wk,,,,ul[class='product-color-options__values'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEMcolorSwatch_wk,,,,li[class='product-variant-attribute-value product-variant-attribute-value--swatch',,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEMsizeTxt_wk,,,,input[class='spinbox__numerical'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEMhighDemandMsg_wk,,,,p[class='product-quantity__error'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DUE TO HIGH DEMAND, A CUSTOMER MAY ORDER NO MORE THAN 3 UNITS OF THIS ITEM EVERY THIRTY DAYS.",,,,,,,
AEMcartOverlayTxt_wk,,,,div[class='cart-dialog'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEMpdpFbIcon_wk,,,,span[class='hbc-icon hbc-icon--facebook '],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEMpdpGoogleIcon_wk,,,,span[class='hbc-icon hbc-icon--google-plus '],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEMpdpPinIcon_wk,,,,span[class='hbc-icon hbc-icon--pinterest '],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEMpdpTwitterIcon_wk,,,,span[class='hbc-icon hbc-icon--twitter '],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEMpdpEmailIcon_wk,,,,span[class='hbc-icon hbc-icon--email '],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mnavChangeCountryBtn,international-flag,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,a,,,,,,,,,,,,,,,
mchangeCountryDrpDwn,INTCOUNTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mchangeCountrySaveBtn,,,,input[value='Save & Continue Shopping'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mCheckoutSaksEnterBag_vm,,,saks-bag,a[class='button button--primary cart-dialog__checkout-button'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mShippingAddressTxt_vm,,save_shipping_address_service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yapPaymentMethodForm,,,,div[id='saksBody'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pdpSoldOutMsg_WS,,,main-product,,,,,,,,,,,,,,1,,,,,,,,,,,,div[class='sold-out-message component component-3'],,,,,,,,Sold Out,,,,,,,,,,,,
pdpVegcValidation,,,,div[class='product main-product grid-100 grid-parent page-section'],,,,,,,,,,,,,1,,,,,,,,,,,short-description,,,,,,,,,,,,,,Virtual Gift Card,,,,,,,
pdpWaitListEmailTextBox_zk,waitlist-email,,,input[class='input-field__input-element'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pdpAddToWaitListButton_zk,,,,button[class='button button--full button--primary product-wait-list__add-to-waitlist-button'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pdpUnavailableColorSwatchLink_zk,,,,div[class='product-color-options'],,,,,,,,,,,,,1,,,,,,,,,,,,li[class='product-color-options__value product-color-options__value--unavailable'],,,,,,,1,,,,,,,,,,,,,
pdpUnavailableSizeSwatchLink_zk,,,,div[class='product-size-options'],,,,,,,,,,,,,1,,,,,,,,,,,,li[class^='product-size-options__value product-size-options__value--unavailable product-size-options__value'],,,,,,,1,,,,,,,,,,,,,
nextStepBagPage_AAF,jsCompletePayment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orderId_AAF,confirmation-head,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,h2,,,Order,,,,,,,,,,,,
clickGuestCheckout_AAF,jsCheckoutEnhancementsGuestCheckout,,button checkout,,,,,,,,,Checkout as Guest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
firstName_AAF,shipFirst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lastName_AAF,shipLast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
address_AAF,shipAddress1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
city_AAF,shipCity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipCode_AAF,shipZip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emial_AAF,shipEmail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phoneNumber_AAF,shipPhone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clickNextStep_AAF,jsCompleteShippingBilling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selectState_AAF,shipState,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
navWomAppDrawerValidation,,,,nav[class='breadcrumbs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Women's Apparel,,,,,,,
prpFilterType_wk,,,,div[class='filter-categories sfa-pa-enh-height-adjusted'],,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,a,,,Type,,,,,,,,,,,,
prpFilterDesigner_wk,,,,div[class='filter-categories sfa-pa-enh-height-adjusted'],,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,a,,,Designer,,,,,,,,,,,,
prpFilterSize_wk,,,,div[class='filter-categories sfa-pa-enh-height-adjusted'],,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,a,,,Size,,,,,,,,,,,,
prpFilterColor_wk,,,,div[class='filter-categories sfa-pa-enh-height-adjusted'],,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,a,,,Color,,,,,,,,,,,,
prpFilterStyle_wk,,,,div[class='filter-categories sfa-pa-enh-height-adjusted'],,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,a,,,Style,,,,,,,,,,,,
prpFilterOccasion_wk,,,,div[class='filter-categories sfa-pa-enh-height-adjusted'],,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,a,,,Occasion,,,,,,,,,,,,
prpFilterMaterial_wk,,,,div[class='filter-categories sfa-pa-enh-height-adjusted'],,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,a,,,Material,,,,,,,,,,,,
prpFilterLifestyle_wk,,,,div[class='filter-categories sfa-pa-enh-height-adjusted'],,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,a,,,Lifestyle,,,,,,,,,,,,
prpFilterPrice_wk,,,,div[class='filter-categories sfa-pa-enh-height-adjusted'],,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,a,,,Price,,,,,,,,,,,,
prpFilterBtn_wk,,,,div[class='refine-and-sort-container'],,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,a,,1,Filter By,,,,,,,,,,,,
prpSortBtn_wk,,,,div[class='refine-and-sort-container'],,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,a,,1,Sort By:,,,,,,,,,,,,
prpSortBestSeller_wk,,,,div[class='filter-categories sfa-pa-enh-height-adjusted'],,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,a,,1,Best Sellers,,,,,,,,,,,,
prpSortTopRated_wk,,,,div[class='filter-categories sfa-pa-enh-height-adjusted'],,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,a,,1,Top Rated,,,,,,,,,,,,
prpSortPriceLowToHigh_wk,,,,div[class='filter-categories sfa-pa-enh-height-adjusted'],,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,a,,1,Price:,,,,,,,,,,,,
prpSortDesigner_wk,,,,div[class='filter-categories sfa-pa-enh-height-adjusted'],,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,a,,1,Designers:,,,,,,,,,,,,
prpSortCategory_wk,,,,div[class='filter-categories sfa-pa-enh-height-adjusted'],,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,a,,1,Category,,,,,,,,,,,,
prpSortSaleFirst_wk,,,,div[class='filter-categories sfa-pa-enh-height-adjusted'],,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,a,,1,Sale First,,,,,,,,,,,,
prpSortNewest_wk,,,,div[class='filter-categories sfa-pa-enh-height-adjusted'],,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,a,,1,Newest,,,,,,,,,,,,
prpSortDone_wk,,,,ul[class='filter-menu'],,,,,,,,expanded,,,,,1,,,,,,,,,,,,span[class='apply'],,,,,,,,,,,,,,,,,,,,
prpFilterDone_wk,,,,ul[id='refine-menu'],,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,span,,,Done,,,,,,,,,,,,
ContunieShippingAEMPDP_AAF,,,,button[class='button button--secondary cart-dialog__continue-shopping-button'],,,,,,,,Continue Shopping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o5m_prpPrpTitle_WS,,,,nav[class='breadcrumbs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o5m_rsCVV_WS,reviewCCV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
buttonContinue_AAF,,,,span[class='jsActionButton'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bagShopRunnerBanner_WS,shopRunnerDiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bagShopRunnerLogo_WS,,,,div[class='srd_logo'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bagPageImage_WS,,,,div[class='product-detail thumbnail'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sakaBagNumberItems_AAF,bag-header-count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noIteminBag_AAF,bag-header-count,,,div[class='cart-empty'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bagTopOrderTotal_WS,,,,div[class='order-total'],,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bagBottomOrderTotal_WS,,,,div[class='order-total'],,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bagRemoveButton_WS,,,,div[class='item jsItemRoot'],,,,,,,1,,,,,,1,,,,,,,,,,,jsRemoveItem,,,,,,,,,,,,,,,,,,,,,
bagEstimatedTotal_WS,jsVal-grandTotal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bagPayPalBanner_AAF,jsPayPalExpress,,,button[id='jsPayPalExpress'],,jsPayPalExpress,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bagInStockMessage_WS,,,,div[class='item jsItemRoot'],,,,,,,1,,,,,,1,,,,,,,,,,,product-availability,,,,,,,,1,,,,,,,,,,,,,
bagShopRunnerEligible_WS,,,,div[class='item jsItemRoot'],,,,,,,1,,,,,,1,,,,,,,,,,,,div[class='srd_iconline'],,,,,,,,,,,,,,,,,,,,
bagApplyPromoMessage_WS,,,,div[class='promo-code-msg'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bagRemoveButtonOverlay_WS,,,,div[class='removal-confirmation shown'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bagRemoveButtonOverlayCancel_WS,,,,button[class='cancel'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bagRemoveButtonOverlayRemove_WS,,,,button[class='remove'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bagEstimatedShippingTaxes_WS,shipping-method-group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pdpItemAddedToBag_WS,,,,a[class='saks-bag'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
headerOnBagPage_AAF,bag-header,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
footerOnBagPage_AAF,contact-us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
productQuantityBag_AAF,,,,div[class='item jsItemRoot'],,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,select,,,,,,,,,,,,,,,
productBrandNameBag_AAF,,,,div[class='product-name'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
productNameBag_AAF,,,,div[class='product-description'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
productIdBag_AAF,,,,div[class='product-sku'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
colorSizeBag_AAF,,,,div[class='product-sku'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zeroItemInSaksBag_AAF,,,,span[id='numItemsLink'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pdpPageLanded_AAF,,,,header[class='product-overview'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brandNameOnPdp_AAF,,,,header[class='product-overview'],,,,,,,,,,,,,1,,,,,,,,,,,,h2[class='product-overview__brand'],,,,,,,,,,,,,,,,,,,,
colorSelectedOnPDP_AAF,,,,div[class='product-color-options'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lgnForgotPwd_WS,,,,,,,,,a,,,Forgot your password,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shpStep1_WS,,,,ol[class='progress step-addresses'],,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,li,,1,,,,,,,,,,,,,
shpStep2_WS,,,,ol[class='progress step-addresses'],,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,li,,2,,,,,,,,,,,,,
shpStep3_WS,,,,ol[class='progress step-addresses'],,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,li,,3,,,,,,,,,,,,,
shpStep4_WS,,,,ol[class='progress step-addresses'],,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,li,,4,,,,,,,,,,,,,
paymentPage_AAF,,submit_payment_service,,form[id='submit_payment_service'],,,,,h1,,,Payment Information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
editRs_AAF,,,,a[class='jsChangeShipAddress module-head-link edit button'],,,,,,,,Edit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
editAddress_AAF,,,,div[id='address-book-shipping'],,,,,h1,,,Edit Address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
changedShippingAddress_AAF,,,,div[id='module-shipping-address'],,,,,address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shpCountry_WS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shpIntlStateProvinceRegion_WS,,,,div[id='international-flag'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shpCheckoutHeading_WS,,,,div[id='checkout'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shpContactInfo_WS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
applyButtonOnRs_AAF,,,,a[id='jsUpdateShippingAddress'],,,,,Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alertMessagebagPage_AAF,,,,div[class='promo-code-msg'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clickForgetPassword_AAF,,,,a[href='/account/forgotpassword.jsp'],,,,,a,,,Forgot your password?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forgetYourPasswordDisplayed_AAF,,,,section[class='reset-password'],,,,,h1,,,Forgot Your Password?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emailAddressMobile_AAF,email,,,input[type='text'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
submitButton_AAF,,,button,button[type='submit'],,,,,,,,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
passwordResetEmail_AAF,,,,,,,,,h1,,,Password Reset E-mail Sent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkHighlightedErrorLogin_AAF,,,,span[class='message'],,,,,,,,The email address or password you have entered is not valid. Please check both trying again or click on Forget Password.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
errorMessageLogin_AAF,,,,div[class='errorMsg'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mobileGiftCardNumber_AAF,payGCNum,,,input[name='ACCOUNT<>accountNumber'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
addGiftcardButton_AAF,,ACCOUNT<>accountNumber,,input[id='payGCNum'],,div[class='inline-submit button apply-code'],,,,,1,Add a Gift Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mobileGiftCardPinNumber_AAF,payGCPIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mobileGiftCard_AAF,module-gift-card,,,div[class='module gift-card'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
promotionCode_AAF,,,,div[class='inline-submit button apply-code'],,,,,,,2,Add another Promotional Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
promocodeInputField_AAF,,promoCode,,input[id='promoCodeEntry'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mobileRsPage_AAF,,,jsStepWrap,div[id='main-widecart-parent'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
editShippingAddressOnMobile_AAF,,,,a[class='jsChangeShipAddress module-head-link edit button'],,,,,,,,Edit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
editBillingAddressOnMobile_AAF,,,,h2[class='module-head'],,,,,,,,Billing Address,,,,,1,,,,,,,,,,,,a[class='jsEditBillAddress module-head-link edit button'],,,,,,,,Edit,,,,,,,,,,,,
editOnBillingOverlay_AAF,,,,div[id='add-edit-choice'],,,,,,,,,,,,,1,,,,,,,,,,,,div[class='edit'],,,,,,,,,,,,,,,,,,,,
clickEditOnPayment_AAF,credit-card,,,div[class='module credit-card'],,,,,,,,Payment Type ,,,,,1,,,,,,,,,,,,a[class='jsEditCreditCard module-head-link edit button'],,,,,,,,Edit,,,,,,,,,,,,
clickEditOnMobilePayment_AAF,credit-card-layer-add,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
papApplyGiftCard_WS,,,,span[class='button apply-code'],,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
papGiftCardApplied_WS,,,gift-cards,ul[id='jsVal-giftCards'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
papRemoveGift_WS,,,,a[class='jsGiftCardRemove saks-icon remove'],,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
papPromoCode_WS,promoCodeEntry,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
papPromoApplyBtn_WS,,,,span[class='button apply-code'],,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
papPromoCodeApplied_WS,,,,div[id='applied-promo-codes'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
papFirstPromoRemoveBtn_WS,applied-promo-codes,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,a[class='saks-icon remove jsPromoCodeRemove'],,,,,,,,,,,,,,,,,,,,
bagLoginEmailPaypalTxtOld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paplContinueBtnOld,confirmButtonTop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pdpStrikethroughOldPrice_WS,,,,dl[class='product-pricing__container product-pricing__container--previous'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pdpProductQtySection_WS,,,product-quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newAddress_AAF,,,,div[id='address-book-shipping-create'],,,,,,,,Create New Address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
firstNameOnChange_AAF,shipFirst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lastNameChange_AAF,shipLast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cityChange_AAF,shipCity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipcodeChange_AAF,shipZip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state_AAF,shipState,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phoneNumberChange_AAF,shipPhone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clickApply_AAF,,,,a[id='jsUpdateShippingAddress'],,,,,a,,,Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clickEditShiiping_AAF,,,,div[class='edit'],,,,,,,,Edit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
addressChange_AAF,shipAddress1,,,div[id='shipAddress1-wrap'],,,,,,,,Address Line 1,,,,,1,,,,,,,,,shipAddress1,,,,,,,,,,,,,,,,,,,,,,,
progressbar_AAF,,,,ol[class='progress step-addresses'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shpAddress2_WS,,,,div[id='shipAddress2-wrap'],,,,,,,,,,,,,1,,,,,,,,,,SHIP_TO_ADDRESS<>address2,,,,,,,,,,,,,,,,,,,,,,
checkoutMobileOverlay_AAF,,,button button--primary cart-dialog__checkout-button,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
additionalCVVError_AAF,,card_cvNumber,,input[id='payCCV'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clickContinueAsErrorHandle_AAF,,,button continue,a[id='jsCompletePayment'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clickContinue_AAF,,,,a[id='jsCompletePayment'],,,,,,,,button continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gifycardMessage_AAF,,,,span[class='message'],,,,,,,,The gift card you entered has no available balance. Please enter a new gift card or continue checkout.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inputPassWord_AAF,,USER_ACCOUNT<>password,,input[id='password'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
passWordHint_AAF,,USER_ACCOUNT<>ATR_passwordHint,,input[id='passwordHint'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inputConfirpassword_AAF,,USER_ACCOUNT<>confirmPassword,,input[id='password2'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clickContinueOnSaks_AAF,,,button continue,button[id='jsAccountEnter'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o5m_storeZipCode_AAF,,,,input[id='storesZip'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o5m_selectStateLocator_AAF,,STATE_CODE_INPUT,,select[id='storesState'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o5m_findStoreButton_AAF,,,storeEventsButton,input[id='btnFindStores'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sip_Title,,,,h2[class='sign-into-account__title'],,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sip_SignInSection,,,,h2[class='sign-into-account__title'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sip_Email,,,,input[name='username'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sip_Password,,,,input[name='password'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sip_SignInBtn,,,,div[class='sign-into-account__button'],,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,button,,,,,,,,,,,,,,,
