ObjectName,ID,Name,ClassName,CssSelector,CssSelector2,CssSelector3,LinkText,PartialLinkText,TagName,XPath,ithInMultiple,ContainsText,AttributeKey1,AttributeValue1,AttributeKey2,AttributeValue2,IsParent,Value,SQL,UserDefinedWaitTime,ThreadSleepWaitTime,ReferenceDataID,UnUseColumn1,UnUseColumn2,UnUseColumn3,Child_ID,Child_Name,Child_ClassName,Child_CssSelector,Child_CssSelector2,Child_CssSelector3,Child_LinkText,Child_PartialLinkText,Child_TagName,Child_XPath,Child_ithInMultiple,Child_ContainsText,Child_AttributeKey1,Child_AttributeValue1,Child_AttributeKey2,Child_AttributeValue2,Child_Value,Child_SQL,Child_UserDefinedWaitTime,Child_ThreadSleepWaitTime,Child_ReferenceDataID,Child_UnUseColumn1,Child_UnUseColumn2,Child_UnUseColumn3
ccCustUsernameSearchBtn_wk,,CC_search_ok,bmsFormButton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccCustLastnameSearchTxt_wk,,USER_ACCOUNT_SEARCH<>lastName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccCustNumberSearchTxt_wk,,USER_ACCOUNT_SEARCH<>customerNum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccFrameId_wk,cc_frame_content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccCatalogBrandBtn_wk,,,,,,,BRANDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prpQuickLookLink,,,quicklookDesigner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bagQuickLookOverLay,,,,div[class='ui-dialog ui-widget ui-widget-content ui-corner-all ui-front quicklook-dialog'],,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccHomeLastName_WS,,USER_ACCOUNT_SEARCH<>lastName,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccCustSearchBtn_WS,,CC_search_ok,bmsFormButton,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccHomeFirstName_WS,,USER_ACCOUNT_SEARCH<>firstName,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccHomeEmail_WS,,USER_ACCOUNT_SEARCH<>email_search,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccHomeOrderNum_WS,,ORDER_SEARCH<>orderNum,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccOrderSearchBtn_WS,,CC_search_ok,bmsFormButton,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rrLoginId,,,,input[id='loginform:loginId'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rrPwd,,,,input[id='loginform:passwordId'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rrSignInBtn,,,,input[id='loginform:Login'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rrNavFraudAgentToolsBtn,,,,,,,,,a,,,Fraud Agent Tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rrQueuedOrdersBtn,,,,,,,,,a,,,Queued Orders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rrFindTransBtn,,,,input[id='queueDisplay:_id87'],,,,,,,,Find Transaction,value,Find Transaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rrSearchData,,,,input[name='queueDisplay:_id96'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rrSearchBtn,,,,input[id='queueDisplay:findtx'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rrOrderResolveDrpdwn,,,,select[id='resolvechoice'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rrOrderResolveBtn,,,button,,,,,,,,,Resolve,value,Resolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rrBody,,,,,,,,,body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccorderHistory,,,,div[id='idContentContainer'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccorderEmailHistoryBtn,,,,,,,,,a,,,View Email History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccOrderEditPaymentBtn,,,,,,,,,a,,,Edit Payment Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccOrderCCAddBtn,addPaymentID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccOrderUpdatePaymentBtn,updatePaymentID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccOrderCCEditBtn,editCreditCard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccOrderEditCCName,,,,,,,,,input,,,,name,EDIT_CREDIT_CARD<>cardholderName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccOrderEditCCSaveBtn,,,bmsFormButton,,,,,,,,,ave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccOrderEditCCNumber,,,,,,,,,input,,,,name,EDIT_CREDIT_CARD<>cardNum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccOrderEditCCYear,,EDIT_CREDIT_CARD<>cardYear_cd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccOrderCCRemovechk,,CREDIT_CARD_ARRAY<>remove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccOrderEditLineItemBtn,,,,,,,,,a,,,Edit Order Lines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccOrderUpdateOrderBtn,,,,button[name='update_order'],,,,,,,1, Update Order,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yapLogOutBtn,,,,a[data-form='logout_session_and_cookie'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lnvDressesBtn,,,,div[class='sfa-left-nav-content-container'],,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,a,,,Dresses,,,,,,,,,,,,
lnvDayBtn,,,,ul[class='sub-left-nav'],,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,a,,,Day,,,,,,,,,,,,
lnvJustKidsBtn,,,,div[id='left-nav-content'],,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,a,,,Kids,,,,,,,,,,,,
InvSplendidBtn,,,,div[id='designer-right-container'],,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,a,,,Splendid,,,,,,,,,,,,
PradaLnvFragnanceBtn,,,,li[class='js-left-nav-links left-nav-links'],,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,a,,,Fragrance,,,,,,,,,,,,
PradLnvForHerBtn,,,,li[class='left-nav-list-show'],,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,a,,,For Her,,,,,,,,,,,,
lnvTopsBtn,,,,ul[class='left-nav-links-container js-expandable-category '],,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,a,,,Tops,,,,,,,,,,,,
lnvBlousesBtn,,,,ul[class='sub-left-nav'],,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,a,,,Blouses,,,,,,,,,,,,
lnvJacketsVestsBtn,,,,li[class='left-nav-list-show'],,,,,a,,,Jackets ,,,,,1,,,,,,,,,,,,,,,,,a,,,Jackets ,,,,,,,,,,,,
lnvJacketsBtn,,,,ul[class='sub-left-nav'],,,,,,,,Jackets ,,,,,1,,,,,,,,,,,,,,,,,a,,1,Jackets,,,,,,,,,,,,
lnvBlazersBtn,,,,ul[class='sub-left-nav'],,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,a,,,Blazers,,,,,,,,,,,,
RefBySizeDrpDwn,,,refine-dropdown,,,,,,,,,,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RefineDrpDwnApplyBtn,,,,li[id='new-arrivals'],,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,a,,,APPLY,,,,,,,,,,,,
lnvVestsBtn,,,,ul[class='sub-left-nav'],,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,a,,,Vests,,,,,,,,,,,,
lnvGucciFallEventBtn,,,,ul[class='left-nav-links-container js-expandable-category last-nav-group'],,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,a,,,Gucci Fall Event,,,,,,,,,,,,
lnvGucciFallShopCollectionBtn,,,,a[id='eventTitle'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lnvSBDDrpDwn,,,,div[class='selectbox-helper'],,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,select,,,,,,,,,,,,,,,
pChangeAddressBtn,,,,input[id='changeAddressButton'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pAddNewShipAddBtn,,,,input[id='addShipAddress'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pAddNewShipCountryDrpDwn,,,,select[id='country_code'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pAddNewShipName,,,,input[id='shipping_addressee_name'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pAddNewShipAdd1,,,,input[id='shipping_address1'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pAddNewShipCity,,,,input[id='shipping_city'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pAddNewShipProvince,,,,select[id='shipping_state'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pAddNewShipZip,,,,input[id='shipping_zip'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pdAddNewShipSaveBtn,,,,p[class='buttons'],,,,,,,,,,,,,1,,,,,,,,,continueBabySlider,,,,,,,,,,,,,,,,,,,,,,,
shClickInternationalShippingBtn,,,action-link-text,,,,,,,,,International Shipping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shPlsEnterDomesticCloseBtn,,,,button[class='ui-button ui-widget ui-state-default ui-corner-all ui-button-icon-only ui-dialog-titlebar-close'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,changeCountryDrpDwn
changeCountryDrpDwn,,,,select[id='INTCOUNTRY'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
changeCountrySaveBtn,,,,input[class='sfa-button transactional large float-right'],,,,,,,,,value,Save & Continue Shopping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shCheckoutPaypalBtn,,,,button[id='paypal-express-btn'],,,,,,,,PayPal Express Checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pPaywithmyPaypalBtn,,,,input[id='loadLogin'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pReviewShipTo,,,,div[class='col-xs-12 col-sm-6'],,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pReviewBillTo,,,,div[class='col-xs-12 col-sm-6'],,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BagInternationalCheckoutBtn,saksBody,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,a,,,Checkout,,,,,,,,,,,,
PReviewSubmitBtn,,,,button[id='submit-order-btn'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccCaseSearchTxt_wk,,CASE_SEARCH<>issueNum_search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccOrdersEmailTxt_wk,,ORDER_SEARCH<>ForEmail_search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccOrdersOrderNumTxt_wk,,ORDER_SEARCH<>orderNum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccOrdersZipTxt_wk,,ORDER_SEARCH<>postal_search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccOrdersFirstnameTxt_wk,,ORDER_SEARCH<>ForFirstName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccOrdersLastnameTxt_wk,,ORDER_SEARCH<>ForLastName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccNavOrdersBtn_wk,,,,,,,Orders,Orders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccNavCustomersBtn_wk,,,,,,,Customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccNavCasesBtn_wk,,,,,,,Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccNavCatalogBtn_wk,,,,,,,Catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccLeftNavCreateOrderBtn_wk,,,,,,,,Create a saks.com order,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccLeftNavMyAccountBtn_wk,,,,,,,,My Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccLeftNavCreateCaseBtn_wk,,,,,,,,Create a case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccCatalog10CrosbyBtn_wk,,,,,,,,10 Crosby Derek Lam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccSearchResultsTxt_wk,,,bmsDataTable,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccCustomerClickPasswordChangeBtn_wk,,,,,,,Change and E-mail Password,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccCustomerChangePasswordTxt_wk,,USER_ACCOUNT<>password,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccCustomerConfirmPasswordTxt_wk,,USER_ACCOUNT<>confirmPassword,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccCustomerSendPasswordBtn_wk,,send,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccCatalogCrumbs,,,bmsPathLocation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccEmailTranSearchTxt_wk,,bvUserID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccTranBtn_wk,,translateGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccEmailTranResultsTxt_wk,,,bmsMainContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccCustomerAccountLoginUsernameTxt_wk,,acct_csrlogin,,,,,,,,,,,,,,,1,,,,,,,,,,LOGIN<>userid,,,,,,,,,,,,,,,,,,,,,,
ccCustomerAccountLoginBtn_wk,,csrSignIn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccOrderStatus_wk,,,,td[class='bmsTextWarning bmsTextNoteable'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccNavEditOrderLines_wk,,,,,,,Edit Order Lines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccOrderCancelOrderBtn_wk,,update_order,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bagoForgotPasswordBtn_wk,jsLoginWrap,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,Forgot Password?,,,,,,,,,,,,,,,,
bagoEmailErrorTxt_wk,login_registered_user_service,,,,,,,,,,,,,,,,1,,,,,,,,,,,required,,,,,,,,,Email Address,,,,,,,,,,,,
bagoPasswordErrorTxt_wk,login_registered_user_service,,,,,,,,,,,,,,,,,,,,,,,,,,,required,,,,,,,,,Password,,,,,,,,,,,,
bagoTopError,,,errorMsgPage ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bagoUnregError,,login_guest_user_service,,,,,,,,,,,,,,,1,,,,,,,,,,,errorMsg,,,,,,,,,,,,,,,,,,,,,
bagPojoItemTotalTxt_wk,jsVal-itemsTotal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bagPojoGiftWrapPriceTxt_wk,jsVal-giftWrapTotal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bagPojoShippingTxt_wk,jsVal-shippingCost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bagPojoTotalBeforeTaxTxt_wk,jsVal-totalBeforeTax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bagPojoGrandTotalTxt_wk,jsVal-grandTotal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yapSignInCCBtn,,csrSignIn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccOrderInformation,idcolProductDescription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccProductDetails,,cc_sku_add_detail_general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yapBody,saksBody,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
loAccountLocked,,,errorMsg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccSave,,update,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccStatusAccount,,cc_update_consumer,,,,,,,,,,,,,,,1,,,,,,,,,,USER_ACCOUNT<>status_cd,,,,,,,,,,,,,,,,,,,,,,
ccorderBookBtn,,,,,,,,,a,,,view_order_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccOrderHistoryTable,,order_details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccOrderLogTable,,,bmsDlgTitleContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccEmailHistoryTable,,,cc41-tablehead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccViewLog,,,,,,,,Order Log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccEmailHistory,,,,,,,,View Email History,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qoReadReviewBtn,,,,,,,,Read,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yapCreateAccountBtn,,,,form[name='createAccount'],,,,,,,,,,,,,1,,,,,,,,,,createAccount,,,,,,,,,,,,,,,,,,,,,,
yapSelectTItle,,,,select[name='USER_ACCOUNT<>ATR_title'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yapFirstName,,,,input[name='USER_ACCOUNT<>firstName'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yapLastName,,,,input[name='USER_ACCOUNT<>lastName'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yapPassword,,,,input[name='USER_ACCOUNT<>password'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yapConfirmPassword,,,,input[name='USER_ACCOUNT<>confirmPassword'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yapEmailId,,,,input[name='USER_ACCOUNT<>userid'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yapSaveBtn,,,,input[name='registerNewUser'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yapAccountDrpDwn,,,menu-dropdown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yapErrorMessageLogin,,,errormesg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proShippingAddressTitle,,SHIP_TO_ADDRESS<>indGift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proShippingFirstNameTxt,,SHIP_TO_ADDRESS<>firstName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proShippingLastNameTxt,,SHIP_TO_ADDRESS<>lastName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proShippingAddress1Txt,,SHIP_TO_ADDRESS<>address1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proShippingcityTxt,,SHIP_TO_ADDRESS<>city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proShippingZipCodeTxt,,SHIP_TO_ADDRESS<>postal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proShippingPhoneTxt,,SHIP_TO_ADDRESS<>phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proShippingSaveBtn,,saveAddress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proBillingTitle,,BILL_TO_ADDRESS<>indGift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proBillingFirstNameTxt,,BILL_TO_ADDRESS<>firstName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proBillingLastNameTxt,,BILL_TO_ADDRESS<>lastName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proBillingAddress1Txt,,BILL_TO_ADDRESS<>address1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proBillingcityTxt,,BILL_TO_ADDRESS<>city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proBillingZipCodeTxt,,BILL_TO_ADDRESS<>postal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proBillingPhoneTxt,,BILL_TO_ADDRESS<>phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proBillingCountryTxt,,BILL_TO_ADDRESS<>country_cd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proShippingStateBtn,,SHIP_TO_ADDRESS<>state_cd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proBillingStateBtn,,BILL_TO_ADDRESS<>state_cd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proEditBilling,,,,,,,,BILLING ADDRESS BOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proEditShipping,,,,,,,,SHIPPING ADDRESS BOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsPaymentTypeChange,,CREDIT_CARD<>ccd_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yapOrderNumberTxt,,ORDER<>orderNum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yapBillingZipCodeTxt,,ORDER<>zip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yapAccessDetailsBtn,,,,form[name='viewOrderStatus'],,,,,,,,,,,,,1,,,,,,,,,,viewOrderStatus,,,,,,,,,,,,,,,,,,,,,,
yapOrderDetailsForm,,orderCancel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsDefaultPaymentBtn,,save_credit_card_service,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,label,,,,,,,,,,,,,,,
rsPayPalContinueBtn,jsContinueToPayPal,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yapErrorMessagePaypal,,,errorMsg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccSearchBtn_wk,,CC_search_ok,bmsFormButton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pdpRedesignSelColor,,,,div[class='items clearfix'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pdpRedesignDescription,,,,div[class='detail-column'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pdpRedesignQty,,,reskin-quantity-box,input[class='js-quantity quantity'],,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pdpRedesignAddToBagBtn,,,,button[class='hbc-button hbc-button--full hbc-button--primary product__add-to-bag-button'],,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pdpRedesignColor,,,,div[class='items clearfix'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pdpRedesignPreOrderSize,,,,div[class='button'],,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pdpRedesignContainer,,,,div[id='saksContainer'],,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Choose a Size,,,,,,,
pdpRedesignColorSection,,,,div[class='color selector component component-3 clearfix js-color-selector'],,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pdpRedesignVEGCChooseDeno,,,,span[class='label'],,,,,,,1,Choose a denomination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bagTitle,,,masthead-saksbag-title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saks Bag,,,,,,,
navDesignerDrawer,ShopByDesignerNavMenu,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,a,,,,,,,,,,,,,,,
navWomAppDrawer,WomensApparelNavMenu,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,a,,,,,,,,,,,,,,,
navShoesDrawer,ShoesNavMenu,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,a,,,,,,,,,,,,,,,
navJewelryDrawer,JewelryAccessoriesNavMenu,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,a,,,,,,,,,,,,,,,
